latitude,longitude,elevation,datetime,temp,vp,rh,tmin,tmax,trange,precip,windSpd
1.77157,-78.84153,10,2003-06-01T00:00:00Z,25.1,27.3,85.6,20.9,29.4,8.5,3197,1.5
1.77157,-78.84153,10,2003-07-01T00:00:00Z,25.4,28.1,86.6,20.9,29.9,9,2266,1.65
1.77157,-78.84153,10,2003-08-01T00:00:00Z,25.1,26.2,82.2,20.5,29.8,9.3,2713,0.2
1.77157,-78.84153,10,2003-09-01T00:00:00Z,25.2,27.5,85.7,21.3,29.1,7.8,2714,0.08
1.77157,-78.84153,10,2003-10-01T00:00:00Z,25.4,27.7,85.3,22,28.8,6.8,4385,0.62
1.77157,-78.84153,10,2003-11-01T00:00:00Z,24.8,27.9,89.1,21,28.7,7.7,2718,0.77
1.77157,-78.84153,10,2003-12-01T00:00:00Z,25.2,28,87.3,21.2,29.2,8,2973,0.45
1.77157,-78.84153,10,2004-01-01T00:00:00Z,25.2,29.2,91,22.5,28,5.5,4374,1.08
1.77157,-78.84153,10,2004-02-01T00:00:00Z,26.1,29.3,86.6,22.9,29.3,6.4,2873,0.02
1.77157,-78.84153,10,2004-03-01T00:00:00Z,26.7,31.5,89.9,24,29.5,5.5,1830,0.65
1.77157,-78.84153,10,2004-04-01T00:00:00Z,26.2,29.3,86.1,22.5,30,7.5,2774,0.61
1.77157,-78.84153,10,2004-05-01T00:00:00Z,25.5,27.9,85.5,21.3,29.7,8.4,2814,1.21
1.77157,-78.84153,10,2004-06-01T00:00:00Z,25.4,28.4,87.5,21.7,29.2,7.5,2041,0.66
